<div class="front-text">【定理】极限的局部保号性</div><br>若 $\lim_{x\to x_0}f(x) = A > 0$，则在 $x_0$ 的某去心邻域内 $f(x)$ 满足什么条件？	在 $x_0$ 的某去心邻域内满足：<div class="latex-box box-purple">\[ f(x) > 0 \]</div><br><small><b>【避坑与拓展】</b><br>1. <b>去帽不保零：</b>若极限 $>0$，函数值只能保证 $>0$（严格大于）。<br>2. <b>加帽必加零：</b>反之，若已知 $f(x)>0$ 且极限 $A$ 存在，则结论只能是 $A \ge 0$（可能取等）。</small>	396数学::01_极限定义与性质
<div class="front-text">【定理】向量组的线性表示与方程组关系</div><br>向量 $\beta$ 可由向量组 $A = (\alpha_1, \alpha_2, \cdots, \alpha_n)$ 唯一线性表出、有无穷多组表出、不能表出的秩条件分别是什么？	<b>唯一表出：</b><div class="latex-box box-purple">\[ r(A) = r(A, \beta) = n \]</div><br><b>无穷多表出：</b><div class="latex-box box-purple">\[ r(A) = r(A, \beta) < n \]</div><br><b>不能表出：</b><div class="latex-box box-purple">\[ r(A) \neq r(A, \beta) \]</div><small>（即 $r(A) + 1 = r(A, \beta)$）</small>	396数学::16_向量
<div class="front-text">【定理】齐次线性方程组解的结构</div><br>对于齐次方程组 $A_{m \times n}x = 0$，其基础解系中包含的线性无关解向量个数 $s$ 等于多少？	<div class="latex-box box-purple">\[ s = n - r(A) \]</div><br><small><b>【理解】</b><br>自由未知量的个数 = 未知数总数 $n$ - 约束条件的个数(秩)。</small>	396数学::17_方程组
<div class="front-text">【定理】方程组同解的充要条件</div><br>方程组 $Ax = 0$ 与 $Bx = 0$ 同解的充要条件是什么（用秩表示）？	<div class="latex-box box-purple">\[ r(A) = r(B) = r\begin{pmatrix} A \\ B \end{pmatrix} \]</div><br><small><b>【推论】</b><br>这意味着方程组 $A$ 的解也是 $B$ 的解，且 $B$ 的解也是 $A$ 的解。即两个方程组的“行向量组”等价。</small>	396数学::17_方程组
<div class="front-text">【公式】事件概率的加法公式与减法公式</div><br>写出 $P(A+B)$ 以及 $P(A-B)$ 的展开公式。	加法公式：<div class="latex-box box-green">\[ P(A+B) = P(A) + P(B) - P(AB) \]</div><br>减法公式：<div class="latex-box box-green">\[ P(A-B) = P(A) - P(AB) \]</div><br><small><b>【注意】</b><br>$P(A-B)$ 也可以写成 $P(A\overline{B})$。仅当 $B \subset A$ 时，$P(A-B)=P(A)-P(B)$。</small>	396数学::18_概率事件
<div class="front-text">【公式】条件概率与乘法公式</div><br>条件概率 $P(B|A)$ 的定义式是什么？乘法公式是什么？	条件概率：<div class="latex-box box-green">\[ P(B|A) = \frac{P(AB)}{P(A)} \]</div><br>乘法公式：<div class="latex-box box-green">\[ P(AB) = P(A)P(B|A) \]</div>	396数学::18_概率事件
<div class="front-text">【公式】全概率公式与贝叶斯公式</div><br>已知完备事件组 $A_1, \cdots, A_n$，写出全概率公式 $P(B)$ 及贝叶斯公式 $P(A_i|B)$。	全概率公式 (由因推果)：<div class="latex-box box-green">\[ P(B) = \sum_{i=1}^n P(A_i)P(B|A_i) \]</div><br>贝叶斯公式 (执果索因)：<div class="latex-box box-green">\[ P(A_i|B) = \frac{P(A_i)P(B|A_i)}{\sum_{k=1}^n P(A_k)P(B|A_k)} \]</div>	396数学::18_概率事件
<div class="front-text">【定义】两个事件的独立性</div><br>事件 $A$ 与 $B$ 相互独立的充要条件是什么？	<div class="latex-box box-purple">\[ P(AB) = P(A)P(B) \]</div><br><small><b>【等价性质】</b><br>若 $A, B$ 独立，则 $A$ 与 $\overline{B}$、$\overline{A}$ 与 $B$、$\overline{A}$ 与 $\overline{B}$ 也都相互独立。</small>	396数学::18_概率事件
<div class="front-text">【定义】分布函数 $F(x)$ 的性质</div><br>随机变量的分布函数 $F(x)$ 具有哪四大性质？	1. <b>非负性：</b> $0 \le F(x) \le 1$<br>2. <b>规范性：</b> $F(-\infty)=0, \quad F(+\infty)=1$<br>3. <b>右连续：</b> $F(x_0) = F(x_0+0)$<br>4. <b>单调性：</b> 单调不减	396数学::19_一维随机变量
<div class="front-text">【记忆】二项分布与泊松分布 (期望与方差)</div><br>写出二项分布 $X \sim B(n,p)$ 和泊松分布 $X \sim P(\lambda)$ 的期望与方差。	<b>二项分布 $B(n,p)$：</b><div class="latex-box box-green">\[ E(X) = np, \quad D(X) = np(1-p) \]</div><br><b>泊松分布 $P(\lambda)$：</b><div class="latex-box box-green">\[ E(X) = \lambda, \quad D(X) = \lambda \]</div><br><small><b>【特征】</b><br>泊松分布的期望和方差<b>相等</b>。</small>	396数学::19_一维随机变量
<div class="front-text">【记忆】几何分布 (期望与方差)</div><br>写出几何分布 $X \sim G(p)$ 的概率分布律及期望、方差。	分布律 (第k次才首次成功)：<div class="latex-box box-green">\[ P\{X=k\} = (1-p)^{k-1}p \]</div><br>期望与方差：<div class="latex-box box-green">\[ E(X) = \frac{1}{p}, \quad D(X) = \frac{1-p}{p^2} \]</div><br><small><b>【记忆】</b>期望是概率的倒数。</small>	396数学::19_一维随机变量
<div class="front-text">【记忆】均匀分布与指数分布 (期望与方差)</div><br>写出均匀分布 $X \sim U(a,b)$ 和指数分布 $X \sim E(\lambda)$ 的期望与方差。	<b>均匀分布 $U(a,b)$：</b><div class="latex-box box-green">\[ E(X) = \frac{a+b}{2}, \quad D(X) = \frac{(b-a)^2}{12} \]</div><br><b>指数分布 $E(\lambda)$：</b><div class="latex-box box-green">\[ E(X) = \frac{1}{\lambda}, \quad D(X) = \frac{1}{\lambda^2} \]</div><br><small><b>【易错点】</b><br>指数分布方差是 $1/\lambda^2$ (平方)。均匀分布方差分母是 $12$。</small>	396数学::19_一维随机变量
<div class="front-text">【定理】指数分布的无记忆性</div><br>若 $X \sim E(\lambda)$，且 $m>0, n>0$，指数分布的无记忆性公式是什么？	<div class="latex-box box-purple">\[ P\{X > m+n \mid X > m\} = P\{X > n\} \]</div><br><small><b>【含义】</b><br>“过去等待的时间，不影响未来还需要等待的时间。”</small>	396数学::19_一维随机变量
<div class="front-text">【公式】正态分布的标准化公式</div><br>若 $X \sim N(\mu, \sigma^2)$，如何将其进行线性变换，使其服从标准正态分布 $N(0,1)$？	<div class="latex-box box-green">\[ Z = \frac{X - \mu}{\sigma} \sim N(0,1) \]</div><br><small><b>【应用】</b><br>求 $P(a < X < b)$ 时，转化为 $\Phi(\frac{b-\mu}{\sigma}) - \Phi(\frac{a-\mu}{\sigma})$。</small>	396数学::19_一维随机变量
<div class="front-text">【定理】二维离散型随机变量独立性</div><br>二维离散型随机变量 $(X, Y)$ 相互独立的充要条件是什么（用分布律表示）？	<div class="latex-box box-purple">\[ P\{X=x_i, Y=y_j\} = P\{X=x_i\} \cdot P\{Y=y_j\} \]</div><br><small><b>【口语化】</b><br>联合概率 = 边缘概率的乘积。（对表格中每一个格子都成立）</small>	396数学::20_二维随机变量
<div class="front-text">【公式】期望的基本性质</div><br>写出期望的常数提取公式 $E(CX)$ 及两变量相加乘公式（若 $X,Y$ 独立）。	线性性质：<div class="latex-box box-green">\[ E(CX) = C E(X) \]<br>\[ E(X \pm Y) = E(X) \pm E(Y) \]</div><br>若 X, Y 独立：<div class="latex-box box-green">\[ E(XY) = E(X)E(Y) \]</div><br><small><b>【注】</b>和的期望等于期望的和（无条件）；积的期望等于期望的积（需独立）。</small>	396数学::21_期望与方差
<div class="front-text">【公式】方差的基本性质与计算公式</div><br>写出利用期望求解方差的公式，以及方差的常数提取公式 $D(CX)$ 和独立加减公式 $D(X \pm Y)$。	方差定义公式：<div class="latex-box box-green">\[ D(X) = E(X^2) - [E(X)]^2 \]</div><br>常数提取：<div class="latex-box box-green">\[ D(CX) = C^2 D(X) \]<br>\[ D(X+C) = D(X) \]</div><br>若 X, Y 独立：<div class="latex-box box-green">\[ D(X \pm Y) = D(X) + D(Y) \]</div><br><small><b>【易错点】</b><br>1. 提常数要平方。<br>2. 独立相减，方差也是相<b>加</b>！</small>	396数学::21_期望与方差
<div class="front-text">【定义】几何概型</div><br>几何概型的概率计算公式是什么？	<div class="latex-box box-purple">\[ P(A) = \frac{A \text{的度量（长度、面积等）}}{\Omega \text{的度量（长度、面积等）}} \]</div>	396数学::18_概率事件
<div class="front-text">【定义】伯努利概型（二项概率公式）</div><br>在 $n$ 重伯努利试验中，事件 $A$ 发生 $k$ 次的概率 $P\{A_k\}$ 等于什么？	<div class="latex-box box-purple">\[ P\{A_k\} = C_n^k p^k (1-p)^{n-k} \]</div><br>其中 $p = P(A)$。即二项分布的概率公式。	396数学::18_概率事件
<div class="front-text">【定义】对立事件</div><br>事件 $A$ 与 $\overline{A}$ 满足什么关系？	<div class="latex-box box-purple">\[ A\overline{A} = \varnothing, \quad A \cup \overline{A} = \Omega \]</div><br><small>即：不相容且并集为全集。$P(A)+P(\overline{A})=1$。</small>	396数学::18_概率事件
<div class="front-text">【定义】互斥（互不相容）事件</div><br>事件 $A$ 与 $B$ 互斥的定义是什么？	<div class="latex-box box-purple">\[ AB = \varnothing \]</div><br><small>即：不能同时发生。$P(AB)=0$。</small>	396数学::18_概率事件
<div class="front-text">【性质】概率密度函数的基本性质</div><br>连续型随机变量的概率密度函数 $f(x)$ 满足哪两条基本性质？	1. 非负性：<div class="latex-box box-purple">\[ f(x) \geq 0 \]</div><br>2. 归一性：<div class="latex-box box-purple">\[ \int_{-\infty}^{+\infty} f(x) dx = 1 \]</div>	396数学::19_一维随机变量
<div class="front-text">【公式】均匀分布的概率密度函数</div><br>若 $X \sim U(a,b)$，写出其概率密度函数 $f(x)$。	<div class="latex-box box-green">\[ f(x) = \begin{cases} \dfrac{1}{b-a}, & a < x < b \\[1em] 0, & \text{其他} \end{cases} \]</div>	396数学::19_一维随机变量
<div class="front-text">【公式】指数分布的概率密度函数与分布函数</div><br>若 $X \sim E(\lambda)$，写出其概率密度函数 $f(x)$ 与分布函数 $F(x)$。	概率密度函数：<div class="latex-box box-green">\[ f(x) = \begin{cases} \lambda e^{-\lambda x}, & x > 0 \\ 0, & x \leq 0 \end{cases} \]</div><br>分布函数：<div class="latex-box box-green">\[ F(x) = \begin{cases} 1 - e^{-\lambda x}, & x \geq 0 \\ 0, & x < 0 \end{cases} \]</div>	396数学::19_一维随机变量
<div class="front-text">【公式】正态分布的概率密度函数</div><br>若 $X \sim N(\mu, \sigma^2)$，写出其概率密度函数 $f(x)$。	<div class="latex-box box-green">\[ f(x) = \frac{1}{\sqrt{2\pi}\,\sigma} e^{-\frac{(x-\mu)^2}{2\sigma^2}} \]</div>	396数学::19_一维随机变量
<div class="front-text">【定义】二维离散型随机变量的边缘分布律</div><br>已知 $(X,Y)$ 的联合分布律 $p_{ij} = P\{X=x_i, Y=y_j\}$，如何求 $X$ 的边缘分布律 $p_{i\cdot}$？	<div class="latex-box box-purple">\[ p_{i\cdot} = P\{X=x_i\} = \sum_{j} p_{ij} \]</div><br><small><b>【记忆】</b><br>求 $X$ 的边缘分布，就把所有 $Y$ 的情况加起来（对行/列求和）。</small>	396数学::20_二维随机变量
<div class="front-text">【公式】随机变量方差的计算公式</div><br>方差 $D(X)$ 与期望 $E(X)$ 的关系式是什么？	<div class="latex-box box-green">\[ D(X) = E(X^2) - [E(X)]^2 \]</div><br><small><b>【记忆】</b>“平方的期望”减去“期望的平方”。$D(X)$ 恒 $\ge 0$。</small>	396数学::21_期望与方差
<div class="front-text">【记忆】常见分布的期望与方差汇总表</div><br>请写出 (0-1)分布、二项分布、泊松分布、几何分布、均匀分布、指数分布、正态分布的期望与方差。	<div class="latex-box"><table border=1 style='margin: auto; word-wrap: break-word;'><tr><th>分布</th><th>期望 $E(X)$</th><th>方差 $D(X)$</th></tr><tr><td>0-1分布 $B(1,p)$</td><td>$p$</td><td>$p(1-p)$</td></tr><tr><td>二项分布 $B(n,p)$</td><td>$np$</td><td>$np(1-p)$</td></tr><tr><td>泊松分布 $P(\lambda)$</td><td>$\lambda$</td><td>$\lambda$</td></tr><tr><td>几何分布 $G(p)$</td><td>$1/p$</td><td>$(1-p)/p^2$</td></tr><tr><td>均匀分布 $U(a,b)$</td><td>$(a+b)/2$</td><td>$(b-a)^2/12$</td></tr><tr><td>指数分布 $E(\lambda)$</td><td>$1/\lambda$</td><td>$1/\lambda^2$</td></tr><tr><td>正态分布 $N(\mu,\sigma^2)$</td><td>$\mu$</td><td>$\sigma^2$</td></tr></table></div>	396数学::21_期望与方差
